,title,price,location
35,"New ListingLenovo ThinkPad P50 15.6"" Intel Core i7-6820HQ 16GB 256GB SSD WINDOWS 10 PRO",$275.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
36,"New ListingSager 17.3"" Gaming Laptop N170RF i7-6700HQ 16GB /256GB m.2 Nvidia GTX 965M 4GB!",$179.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
37,"Chromebook G4 14"" Intel 2.16 GHz 4GB RAM 32GB SSD Webcam HDMI W/ Charger EL1864",$44.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
38,Dell Latitude Laptop Computer Windows 10 Core 2 Duo PC 4GB 250GB HD WiFi DVD,$149.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
39,"Dell Latitude Laptop 14.1"" Core 2 Duo 4GB RAM 160GB HD DVD WIFI Windows 10 PC",$125.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
40,Dell Chromebook 11 3120-4GB RAM-Intel Celeron N2840 2.16GHz-16GB SSD,$43.19,"<span class=""s-item__location s-item__itemLocation""><span class=""ITALIC"">from Canada</span></span>"
41,"New ListingDell Precision 5530, i5-8400H, 15.6"" FHD, 256 SSD, 16GB RAM, Quadro P1000, Win10",$600.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
42,New ListingDell Latitude 5490 | i5-8350U 1.7GHz | 32GB | 512GB M.2 | 14in FHD,$200.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
43,"New ListingLenovo ThinkPad T490 14"" 16GB 512GB SSD Intel Core i7-8665U 1.90GHz Laptop",$202.50,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
44,"2022 HP 15.6"" FHD Screen Laptop AMD Ryzen 5 5500U,Upto 4.0 GHz,32GB RAM& 1TB SSD",$529.00 to $769.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
