title,price,location
"New ListingDell Latitude E7450 14"" (256 GB SSD, Intel Core i7-5600U, 2.60 GHz, 8GB RAM) Lap",$200.00,from United States
"12GB Powerful HP Laptop 17.3"" FHD Intel Core i5-1135G 4.20GHz 1TB HDD Windows 11",$533.27,from United States
New ListingMSI GF63 THIN 9SCX Gaming Laptop i5-9300H GTX 1650 Max-Q 256GB SSD 16GB RAM A++,$259.00,from United States
Laptop Dell Latitude E5570 Intel i5-6300U 2.40GHz 16GB DDR4 512GB SSD M2 W11 Pro,$275.00,from United States
New ListingHP EliteBook 8470P Core i5 3320M 8 GB 1TB (2x 500GB) HDD!,$129.00,from United States
FAST LAPTOP WINDOWS 7 TOSHIBA INTEL Dual Core 4GB RAM 120GB SSD DVD Wireless,$131.29,from United Kingdom
"Dell Latitude e7450 14"" Laptop 8GB 256 M.2 Sata SSD Core i5 5th Gen GRADE B",$185.00,from United States
"New ListingAcer Aspire 3 A315-34 15.6"" Intel Pentium N 4 GB RAM 1 TB Laptop Computer [BY16]",$67.00,from United States
"FAST LAPTOP Toshiba Satellite  15.4"" Dual Core 3GB RAM 120GB SSD Win7 Webcam DVD",$111.60,from United Kingdom
Panasonic CF-D1 MK3 Core i5 2.4Ghz 16GB Ram 512GB SSD Xentry Tablet BUILD YOURS,$341.38 to $669.64,from United Kingdom
New ListingT01-HP PROBOOK 650 G2 I5-6200U 2.3GHZ 8GB 256GB SSD Win 11 1920x1080,$160.00,from United States
FAST CHEAP Wi-Fi WINDOWS 10 LAPTOP INTEL CORE i3/i5 4GB/8GB RAM 320GB/500GB HDD,$118.16 to $170.68,from United Kingdom
"NEW - Lenovo Flex 5 14"" 2-in-1 Touch, i5 11th Gen, 512GB SSD, 12GB RAM - SEALED",$564.99,from United States
"2022 HP 17.3"" FHD Screen i3-1115G4 ( i5-1035G4),Upto 4.10 GHz,32GB RAM & 1TB SSD",$499.00 to $729.00,from United States
"16GB Slim & Powerful 14"" Full-HD Intel Core i5-1135G 512GB SSD Windows 11 Laptop",$432.42 to $437.42,from United States
"New ListingNEW HP OMEN 16-c0002dx 16.1"" Laptop Ryzen 7 16GB RX 6600M 1TB SSD Notebook PC","$1,500.00",from United States
"New ListingHP Elitebook X360 13.3"" Intel Core i7 8 GB RAM 512 GB Laptop Computer [BY51]",$57.00,from United States
"New ListingLenovo IdeaPad 5 15.6"" Touchscreen Laptop -10th Gen Intel Core i7-1065G7-GeForce",$300.00,from United States
New ListingDell Latitude 5580 Laptop i7-7820HQ 2.90GHz 512GB SSD 16GB RAM Touchscreen,$74.99,from United States
"New ListingHP 17-CA0006CA 17"" AMD Ryzen 3 8 GB RAM 1 TB Laptop Computer [BY15]",$78.00,from United States
"New ListingDell Latitude E5540 15.6"" i3-4030u-1.9GHz 8GB 180GB SSD Web Cam WiFi W10 & Cord",$80.00,from United States
"New ListingDell inspiron 17 7000 2 in 1 Intel Core i7 8th Gen, 16GB DDR4 RAM 500GB Nvidia",$162.50,from United States
Dell Inspiron 5559 core i3 8GB 240GB,$50.00,from United States
"New ListingHP 15-au010wm Pavilion 15.6"" Business Laptop Intel Dual-Core i7-6500U 12GB 1TB",$88.00,from United States
"HP ProBook 6565b Laptop Computer 15.6"" AMD 4GB RAM 320GB HDD WiFi Windows 10",$125.98,from United States
CHUWI HeroBook Pro Windows10 Laptop 14.1''1920x1080 8+256G Intel N4020 Computer,$319.99,from China
"Dell G3 3579 i5-8300H 4.00GHz 8GB RAM 1TB HDD 15.6"" FHD GTX 1050 Ti 2019 W11H",$385.00,from United States
New ListingDell Precision M4600 15.6''  Core i7-2860QM 2.50GHz 8GB 256GB SSD  WiFi W10 Cord,$120.00,from United States
New ListingDell Inspiron 7506 2-in-1 4K w/ Pen Core i7-1165G7 2.8GHz 16GB 1TB SSD Iris Xe,$118.50,from United States
New ListingLenovo ThinkPad W541 FHD - i7 2.8GHz -32GB- 250GB SSD / 500GB HDD - NVidia Quad,$75.00,from United States
CHUWI 14'' Dual Core Laptop PC 2.8Ghz Intel N4020 8+128/256G Windows 10 Notebook,$189.99 to $284.99,from United States
"New ListingMicrosoft Surface Laptop 3 13.5"" (128GB SSD, Intel Core i5 10th Gen., 3.70 GHz,",$200.00,from United States
"New ListingMicrosoft Surface Pro 7 12.3"" 128GB Intel Core i5 10th Gen 8GB RAM Laptop ...",$369.00,from United States
"New ListingAsus X415J 14"" Intel Core i3 8 GB RAM 256 GB Laptop Computer [BY23]",$28.00,from United States
New ListingDELL LATITUDE E7470 I7-6600U 2.6Ghz 8GB  256GB SSD Web Cam Touch W10 &  Cord,$74.99,from United States
"New ListingDell Inspiron 15 15.6'' (1TB HDD, Intel Core i7-1165G7, 4.7GHz, 16GB RAM) Laptop",$381.00,from United States
"New ListingAsus Vivobook X540U 15.6"" Intel Core i3 8 GB RAM 256 GB Laptop Computer [BY2]",$16.50,from United States
HP 15-dy2024nr i5-1135G7 8GB RAM 256GB SSD Windows 11 Laptop Notebook Beautiful,$400.00,from United States
"New ListingAsus X543M 15.6"" Intel Celeron N 4 GB RAM 1 TB Laptop Computer [BY6]",$12.50,from United States
"Apple MacBook Pro Core i5 2.3GHz 4GB RAM 320GB HDD 13"" MC700LL/A  - Very Good",$169.97,from United States
"Dell Latitude E7480|""14""|Core i7@2.80 GHz |8GB RAM |256 GB SSD|WIN 10|NVIDIA",$280.00,from United States
"Dell Latitude 15.6"" E5580 Laptop Intel Core i5 3.50GHz 64GB RAM 2TB SSD Webcam",$340.00 to $920.00,from United States
"Dell Latitude 3330 Laptop Computer 13.3"" Intel Celeron 4GB Ram 320GB Windows 10",$129.99,from United States
"New ListingAsus Chromebook C423N 14"" Intel Celeron N 4 GB RAM 32 GB Laptop Computer [BY53]",$10.50,from United States
Razor Blade Stealth i7- 8550u touch screen- 16gb,$300.00,from United States
"New ListingTouchSmart Envy HP Laptop 15"" i17 w/Touchscreen",$81.00,from United States
hp laptop 14 cm0045nr,$100.00,from United States
"New ListingHP Spectre X360 13.3"" Intel Core i5 8 GB RAM 256 GB Laptop Computer [BY22]",$51.00,from United States
New ListingThinkPad X1 Carbon 6th gen 16GB/1TB AS IS (display error),$200.00,from United States
