title,price,location
"New ListingDell Precision 7530 15.6"" FHD IPS E-2176M 2.7-4.4GHz 32GB 512GB NVMe P1000 Win10",$999.99,from United States
"New ListingDell Latitude E6330, Intel Core i3-2350M, 4GB RAM, No HDD #2176",$9.99,from United States
New ListingNEW HP 11A G8 EE Chromebook: AMD A4 Dual Core 1.6 GHz/4GB/32GB/11.6-in/Gray,$144.99,from United States
AirBar by Neonode Touchscreen Sensor for 14-Inch Windows 10 Notebooks,$79.99,from United States
"New ListingHP 15-ay052nr: 15.6"", i3-6100u CPU, 16GB RAM, 500GB SSD, Win 10",$145.00,from United States
"New ListingHP 316H8UA 17.3"" Full HD Notebook Computer - Natural Silver SKU#1519395",$379.00,from United States
"New ListingSurface Book 1 13.5"" 2016 2.6GHz i7-6600U 8GB 256GB SSD - GTX 965M - Good",$439.99,from United States
"New ListingDell XPS 15 9575 15.6"" UHD 4K Touch I7-8705G 1TB SSD 16GB W10 Radeon RX Vega",$791.99,from United States
"New ListingHP Elitebook 840 G3 14"" Laptop CI5-2.40ghz -6300U 8GB DDR4 256GB SSD M.2+W10",$280.00,from United States
"New ListingDell Latitude 7480 14"" Intel Core i7-6600U 2.60GHz 16GB RAM 1TB HDD",$239.99,from United States
"New ListingASUS L210 11.6in Ultra thin Laptop (Intel Celeron N4020, 4GB RAM, 64GB Storage)",$137.00,from United States
"Lenovo ThinkPad L13 Yoga G2 20VK0019US 13.3"" Notebook - i7, 16GB RAM,512GB SSD","$1,559.99",from United States
"New ListingLenovo ThinkPad X1 Extreme Gen 4 16"" (1TB SSD, i7-11850H, 16GB RAM, 3050 Ti 4GB)","$1,700.00",from United States
New ListingDELL XPS 17•W10P•16GBGB•Silver•Intel i7-11800H 2.30 GHz•3050 Laptop GPU RTX,"$2,388.19",from United States
